PHARMACY_ID	PHARMACY_NAME	NCPDP	NPI_NBR	PHONE_NBR	FAX_NBR
14256	WALGREENS	032079			
14259	US BIOSERVICES	453180			
14260	US BIOSERVICES	453180			
14262	WALGREENS	032079			
14265	ACCREDO	9876123	9939911111	9919991112	8818828881
14266	AET	2342342	3243242343	9939919922	2342343242
14267	BIOSCRIP	2342343	3243243242	2231113334	1221331112
14268	CAREMARK	2132132	3434534543	1223331112	1231231231
14269	CAREPLUS	9213123	2132131232	9919929911	9919393111
14270	CIGNA	2332432	2342343243	2132221111	2223331111
14271	CURASCRIPT SPECIALTY PHARMACY	4567257		6027038628	2052534911
14272	ICORE HEALTHCARE SPECIALTY PHARMACY	8888888		6027038628	2052534900
14273	HUMANA RS SPECIALTY PHARMACY	9999999		6027038628	2052534900
14274	PRESCRIPTION SOLUTIONS SPECIALT PHARMACY	1010101		6027038628	2052534900
14275	WALGREENS SPECIALTY PHARMACY	1111111		6027038628	2052534900
14279	MEDVANTX	435196			
14280	APOTHECARY	1111119		6027038628	2083610545
14281	COMMCARE	1122334		6027038628	2083610545
14282	MODERN	5556667		2052534911	2052534900
14283	CAREPLUS	1146693		4048929131	4048928102
14285	ABC PHARMACY	4675896	9578346934	9876543210	9876543210
14286	AVELLA	0354643		4444444444	5555555555
14297	MCKESSON SPECIALTY PHARMACY	035271	1205035011	4806634160	8665583777
14298	CVS	1212132		1234567890	9999999999
14305	MCKESSON SPECIALTY PHARMACY	035271	1205035011	4806634160	8665583777
14306	ACARIAHEALTH PHARMACY #11 INC	4544424	1629195045	7136518001	8775411503
14307	ACRO PHARMACEUTICAL SERVICES	1111111	1639103823	8009067798	4844948235
14308	ACS	1013438	1063510097	8779856337	8773813806
14309	US BIOSERVICES	2222222	1275532053	8885187246	8778172965
